微博正文,发布时间,ip
是的，别惹犹太女人。『巴以新一轮冲突持续，以色列女主播被拍到在直播中腰间别枪，网友争议』O巴以新一轮冲突持续，以色列女主播被拍到在直播中腰间别枪，网友争议,2024/1/4 23:46,黑龙江
#量化对冲基金#市场消息：利比亚的沙拉拉油田在抗议后开始全面停产。埃及总统塞西向美国国会代表团强调“负责任行动”的重要性，以避免（巴以）地区冲突扩大。埃及总统塞西告诉美国国会代表团，目前的首要任务是在加沙地带达成停火。据伊朗国家电视台：发生在克尔曼市公墓（伊朗将军苏莱曼尼安葬处）的爆炸是“恐怖袭击”。以色列摩萨德局长：10月7日事件的责任人签下了自己的“死亡判决书”。,2024/1/3 23:55,广东
网传胡赛武装袭击在曼德海峡附近的美国福特号航母的视频，不知真假，有点像游戏画面。就算不是真事，如果福特号不跑，迟早也被胡赛打#巴以冲突##红海危机#L缘木球鱼的微博视频,2024/1/5 23:22,福建
《《今日关注》202401012024巴以冲突如何改写中东格局？》本期节目主要内容：以国防军：本轮巴以冲突将持续一整年；频频空袭，以军欲破坏伊朗武器供应线，外媒：以色列与伊朗的“影子战争”面临失控；美军称在红海击沉3艘胡塞武装船只，也门胡塞武装：10名成员被美L《今日关注》202401012024巴以冲突如何改写中东格局？,2024/1/1 23:28,河南
巴以冲突成为武器试验场，带给中国重大启示：要有精确拆楼的能力（#跟新浪看热点##国际新闻##参考消息##俄罗斯卫星通讯社##俄乌战争速报#请点击查看→：O网页链接,2024/1/2 23:55,辽宁
以色列军方宣布，第669特种救援部队累计已从加沙前线运走了超过1000名伤兵。上次以色列军队公布第669部队的救援数字是12月10日，当时说救援了超过600名伤兵。#巴以冲突#,2024/1/4 23:46,陕西
#巴以冲突#据网友评论：哈佛校长辞职#黄媒不会说的真相#,2024/1/3 23:39,重庆
也门第五军区司令优素福·迈达尼将军在加沙地带地图前的照片曝光，耐人寻味来源：رونيالدنماركي#极端组织宣称对伊朗爆炸袭击负责##伊朗爆炸事件死亡人数上升至103人##巴以冲突#,2024/1/5 23:19,北京
以色列国防军发布哈马斯那些凶残恐怖的令人生厌的武器列表来源：IDF#巴以冲突##以色列称坚决拒绝停火##以色列轰炸后的加沙尸横遍野#,2024/1/1 23:27,北京
哈马斯圣城旅展示了其战士在加沙东部的Al-Tuffah和Al-Daraj轴心袭击梅卡瓦坦克的镜头，距离坦克越20米。#巴以冲突##巴勒斯坦##以色列#L缘木球鱼的微博视频,2024/1/2 23:41,福建
#巴以冲突#以色列空军精锐直升机搜救669部队在军方地面攻势中从加沙地带境内执行了数百次医疗后送任务，将1000多名受伤士兵送往以色列医院。以色列国防军表示，在对抗哈马斯的战斗中，669部队与精锐的5515战斗机动部队和以色列空军的运输直升机阵列一起，在加沙地带与地面部队密切配合。以色列国防军最新数据显示，在10月下旬对加沙发起的地面攻势中，已有175名士兵死亡，另有1006人受伤。受伤士兵中，224人伤势严重，372人伤势中度，410人伤势良好。L象哥精选的微博视频,2024/1/4 23:43,福建
#巴以冲突#法国外交部周三谴责以色列部长呼吁重新向加沙地带“移民”的“挑衅性”言论。#巴以冲突升级##法兰西的故事#,2024/1/3 23:39,法国
#巴以冲突#据一名叙利亚记者发帖：这个世界并不认为轰炸加沙儿童是一种残酷的行为，而是给它起了一个美丽的名字，那就是“自卫权”。有了这个名字，杀害儿童就成了受保护的一项权利。#黄媒不会说的真相#L小凡好摄的微博视频,2024/1/5 23:10,重庆
#巴以冲突#哈马斯发布了在加沙与侵略者最新的战斗视频#黄媒不会说的真相#L小凡好摄的微博视频,2024/1/2 23:29,重庆
"伊朗连环爆炸的幕后黑手是谁？巴以冲突已经外溢到美伊冲突！,军事,环球军事,好看视频O网页链接",2024/1/4 23:38,四川
��🇱🇵🇸🇨🇩以色列正在与刚果就加沙地带人口移民那里的可能性进行谈判。来源：КириллФёдоров#伊朗爆炸事件死亡人数上升至103人##伊朗连环爆炸被指系恐怖袭击##巴以冲突#,2024/1/3 23:38,北京
巴以冲突算吗[泪流满面],2024/1/5 23:09,湖北
汗尤尼斯市东线，巴勒斯坦“圣城旅”使用迫击炮打击以色列军队。#巴以冲突#L沙姆雄狮_EL的微博视频,2024/1/6 23:08,陕西
观天下·巴以冲突|尬！美国搞“红海护航”应者寥寥O网页链接,2024/1/2 22:42,广东
别再说天兵打空气了，以色列国防军愤怒的出视频辟谣，你们看，那就是哈马斯！来源：IDF#伊朗总统誓言报复以色列##伊朗爆炸事件死亡人数上升至103人##巴以冲突#L蜗牛柯基的微博视频,2024/1/4 23:27,北京
俄乌还在打仗，巴以继续冲突，但怎么感觉这个世界静悄悄的。昨天还把耳道抠破了，怕得中耳炎，今天一天没敢戴降噪耳机。,2024/1/3 23:36,广东
【#中方敦促巴以冲突当事方停止对加沙地带民众的集体惩罚#】#跟我看外交##与发言人相约蓝厅#@观察者网L外交部发言人办公室的微博视频,2024/1/5 23:07,
本轮巴以冲突已致加沙地带22722人死亡根据加沙地带卫生部门当地时间1月6日发布的最新数据，自去年10月7日本轮巴以冲突爆发以来，加沙地带死亡人数升至22722人，58166人受伤。该部门表示，以军在过去24小时内对加沙地带发动了12起袭击，共造成122人死亡，256人受伤。,2024/1/6 23:02,黑龙江
��🇱🇵🇸‼️在加沙地带北部拜特哈农的激烈战斗中，以色列士兵因恐惧而哭泣和尖叫#巴以冲突##以色列巴勒斯坦冲突##巴勒斯坦#L塔山不是山的微博视频,2024/1/2 22:30,四川
南非84页起诉书指控以种族灭绝，美国：未见任何种族灭绝迹象。信息源：参考消息#巴以冲突#L找剑的七公子的微博视频,2024/1/4 23:19,广东
美国情报已经证实了以色列向世界展示的无可辩驳的证据：哈马斯将加沙的S希法医院作为指挥中心，并在那里扣留了人质。来自美联社消息以色列#巴以冲突##以色列##以色列巴勒斯坦冲突##巴勒斯坦#,2024/1/3 23:33,北京
纽约时报这是提前放风爱国者导弹快没了？你让蓝星第一防空军怎么办？#极端组织宣称对伊朗爆炸袭击负责##伊朗爆炸事件死亡人数上升至103人##巴以冲突#,2024/1/6 23:00,北京
圣城旅打以色列坦克之送温暖~这个圣城旅反坦克小组在建筑物墙壁上开出来的洞口中穿行，最后来到一辆以色列国防军的梅卡瓦坦克面前，贴心送上一发RGP，并且发射前还喊了一句口号。加沙的地道不仅仅是在地下，这些建筑物之间都被打通，整个城市就是一个立体地道群。飞扬军事#巴以冲突#L飞扬军事铁背心的微博视频,2024/1/2 22:29,江苏
加沙地带卫生部门1月3日发布的最新数据显示，自2023年10月7日本轮巴以冲突爆发以来，已有22313名巴勒斯坦人在以色列对加沙地带发动的军事行动中死亡，另有57296人受伤。另据加沙地带卫生部门截至当地时间3日14时的统计，过去24小时内，以色列国防军对加沙地带的空袭和地面军事行动造成至少128人死亡，261人受伤。O以军与哈马斯继续交战加沙地带死亡人数已超2.23万人,2024/1/4 23:16,浙江
哈马斯发表文章纪念创始领袖阿鲁里和他的一群兄弟伊斯兰抵抗运动哈马斯的军事分支伊兹·丁·卡萨姆烈士旅哀悼其烈士、指挥官谢赫·萨利赫·阿鲁里和他的一群奋起反抗的烈士兄弟，他们在昨天晚上（周二）在黎巴嫩首都贝鲁特被犹太复国主义暗杀。经过阿鲁里和他的兄弟们不懈的奋斗，卡桑旅在各个阶段都表现出色，不断成长，已经成为一座坚固的堡垒和一座崇高的大厦，成为占领者咽喉中的一根刺，甚至对这个犯罪实体构成了真正的威胁，该犯罪实体现在在主要抵抗力量的打击下呻吟，为其即将到来的灭亡奠定了基础。上帝保佑，阿克萨洪水只是阿鲁里所做出的这些神圣努力的最新体现。为了保卫我们国家最神圣的圣地，他们在其中做出了巨大的贡献，他们最终牺牲自己的生命，纯正的血统与他们的人民和国家的鲜血混合在一起，奋起支持阿克萨清真寺并与加沙人民站在一起。谢赫·萨利赫·阿鲁里和他的兄弟在黎巴嫩土地上被暗杀，这证实了这个敌人对国家来说是一个危险，与这个实体的战场是开放的，与它战斗并阻止它的邪恶是我们的责任，直到这个癌症从巴勒斯坦土地上被根除。将这个国家从它的罪恶中解脱出来，这就是谢赫·萨利赫·阿鲁里和他的兄弟们为国家所做的努力，并且已经开始结出硕果。我们的领导人被暗杀是我们的荣誉徽章，我们的行动和抵抗只会增强我们继续走下去的决心和坚定，让占领者为其侵略付出代价，他们的鲜血将永远成为照亮我们的灯塔。对我们来说，通往解放的道路和诅咒一直困扰着这个脆弱的实体，直到它从我们的土地和我们的神圣之地被抹去。这是一场胜利或殉难的圣战。伊兹丁卡桑烈士旅-巴勒斯坦星期三21JumadaII伊斯兰教历1445年对应公元2024年1月3日来源：hamas.ps#伊朗爆炸事件死亡人数上升至103人##伊朗连环爆炸被指系恐怖袭击##巴以冲突#,2024/1/3 23:33,北京
⚡️圣城旅发布了他们的战士针对加沙犹太复国主义武装分子的视频展示了针对在Al-Zaytoun轴线上设立的IDF指挥和控制站点的特定行动场景。圣城旅的精彩视频之一。#巴以冲突#L大象搬砖的微博视频,2024/1/1 23:20,福建
【#布林肯到访土耳其受冷落#土方未派官员迎接】当地时间1月5日，美国国务卿布林肯到访土耳其，在机场受到“盛大欢迎”。土方并没有派官员迎接他。布林肯预计将于当地时间1月6日会晤土耳其总统埃尔多安。此次访问是布林肯自2023年10月7日新一轮巴以冲突爆发后第四次访问中东。据悉，他此行将在巴以、黎以问题上，以及红海航线安全上展开外交努力。L今日俄罗斯RT的微博视频,2024/1/6 22:59,
以军继续清剿哈马斯武装及隧道！#巴以冲突##军事##科技#L孙永杰的微博视频,2024/1/2 22:26,北京
以色列内阁部长儿子的葬礼。丧子之痛让他哭的撕心裂肺，无奈巴勒斯坦的平民，巴以冲突已致加沙地带超2.16万人死亡。知道失去亲人的痛苦，那更应该懂得加沙地带平民失去自己的家园、数万个家庭失去亲人的痛苦…是战争就有伤害，战争是把双面剑，那一方都逃避不了，愿世界和平，愿巴以双方回到联合国的和平决议前来，愿加沙地带早日恢复平静！,2024/1/1 23:15,浙江
本轮巴以冲突爆发以来已有509名以军士兵死亡根据以色列国防军6日更新的数据显示，自10月7日本轮巴以冲突爆发以来，以军方面已有509人死亡、2324人受伤。自以色列发动地面军事行动以来，已有175名以军士兵在加沙地带阵亡。,2024/1/6 22:55,黑龙江
【突发！美国航母撤离！以色列即将撤军什么信号？中石油曝出大动作】新年伊始，中东局势出现重大变数。当地时间1月1日，美国海军在一份最新声明中宣布，美国“杰拉尔德·福特”号航空母舰“数日后”将撤离中东地区，返回弗吉尼亚州诺福克母港，结束其在地中海东部的部署。同时，巴以冲突也有重大进展。当地时间1月1日，以色列军方证实，将从加沙地带撤出数千名军人，此举可能是在为打击哈马斯行动转入低强度长期战斗做准备。O突发！美国航母撤离！以色列即将撤军什么信号？中石油曝出大动作,2024/1/2 22:23,天津
观天下·巴以冲突|尬！美国搞“红海护航”应者寥寥O网页链接,2024/1/1 23:11,山东
《程墨：韩加倍反击朝挑衅乌对俄发动最大规模空袭》#乌克兰局势##俄乌局势最新进展##俄乌战争速报##俄乌战争##俄乌战争速报##哈以冲突##巴以冲突##以色列##哈马斯##加沙##以军全面包围加沙城#O程墨：韩加倍反击朝挑衅乌对俄发动最大规模空袭,2024/1/6 22:40,北京
��塞弗尔斯克方向⚠️经过三周的持续战斗，俄军伞兵在韦塞洛耶村附近进行了两次突击。🔻俄军正从两个方向逼近村庄，如果继续推进，乌军很可能会被迫放弃村庄并撤退。🔻目前，进入村庄的其他路线几乎被俄军火力控制。#俄乌局势新进展##俄乌局势新进展##巴以冲突#海岸猎人水相,2024/1/2 22:20,广西
【要打还是要谈？哈马斯已经做好抉择？】当2024年的第一缕阳光洒向巴勒斯坦加沙地带时，这块饱受战争摧残的土地仍旧硝烟弥漫。在2023年最后一天，以色列军队仍在推进军事行动。密集的空袭，绝望的逃离，缺水缺电缺药品，加沙之难何时才能停止？巴以局势陡然升级，它真的只是“茶壶里的风暴”吗？冲突风险是否正在不断外溢？宁夏大学中国阿拉伯国家研究院教授牛新春、中国社科院西亚非洲研究所研究员殷罡、西北大学中东研究所副教授王晋和主持人袁鸣在#环球交叉点#节目上围绕这些问题进行讨论。LSMGNEWS的微博视频,2024/1/5 23:00,
（62）或许我们可以解决俄乌冲突、巴以冲突，但我们不能杜绝冲突，而只要冲突存在，核战就有爆发的可能，所以，我们不仅要解决当下的俄乌冲突、巴以冲突，还要展望未来一一积极构建持久的和平。《美好的未来世界》从历史发展的角度有所发现，希望诸位使馆工作人员认真对待。这或许是有价值的情报。O美好的未来世界,2024/1/1 23:06,辽宁
路透社援引伊拉克总理办公室的消息报道称，伊拉克政府开始外国联军从本国境内撤出的进程。事情缘起两天前伊拉克遭到美国空袭，导致伊拉克什叶派真主党指挥官阿布·塔克瓦死亡。·其实自巴以冲突以来，美国在伊拉克的基地以及驻叙利亚美军基地经常遭到伊拉克什叶派民兵的打击。现在驻伊拉克的美军有2500人。·其实这之前在波斯苏莱曼尼四年前被刺杀后，伊拉克议会就通过决议要求美军撤退，美国一直赖着不走，伊拉克总理现在要求美军撤走到底有没有用不好说，更多是伊拉克政府对伊拉克国内什叶派的某种交代吧。·说实话巴以之后，美国在伊拉克的存在更加鸡肋了，不过现阶段大户和以色列可能都不希望美国撤走，多少还能压制一下什叶派和波斯。,2024/1/6 22:35,北京
感谢以军提供活生生的坦克，供哈马斯新兵训练如何炸坦克。#哈马斯武装人员徒手将弹药放以军坦克上##军事历史全触达##巴以冲突#L老李谈兵的微博视频,2024/1/5 22:58,甘肃
#巴以冲突#在我半消失的这段时间，一件重要的、影响国际局势的事件是巴以冲突，以色列为什么要进行这样一次危险系数较高、成功概率较小的行动，其目的并不是网上常规说的“为了消灭或重创哈马斯”，我个人有不同意见。我认为是以色列要阻挡哈马斯在加沙地区获取自杀式无人机的速度，随着俄乌战争的继续，技术的迭代，自杀式无人机的精度、伤害度、玩法都在进化，假设有一天这些无人机可以躲过铁穹，假设有一天哈马斯能搓出上万台类似沙希德-136型这样的无人机，对以色列的伤害可想而知。发现并打击哈马斯的物资通道，是以色列看来迫在眉睫的事情。目前看，以色列肯定没有达到目的，但确实可以延缓一下哈马斯大批量获取或自制无人机的进程。,2024/1/1 23:05,江苏
真主党发布开战以来89天总战果@军武大伊万@水獭军一般编@近卫T-34来源：Hezbollah#极端组织宣称对伊朗爆炸袭击负责##伊朗爆炸事件死亡人数上升至103人##巴以冲突#,2024/1/6 22:34,北京
《程墨：哈马斯二把手被斩首俄狂袭基辅10枚高超音速导弹被拦截》#乌克兰局势##俄乌局势最新进展##俄乌战争速报##俄乌战争##俄乌战争速报##哈以冲突##巴以冲突##以色列##哈马斯##加沙##以军全面包围加沙城#O程墨：哈马斯二把手被斩首俄狂袭基辅10枚高超音速导弹被拦截,2024/1/3 23:30,北京
.猫咪与小主人最后的道别动物亦比人更有情谊，我真的哭死了！.巴以冲突.巴勒斯坦.感动L洛枳的遗憾的微博视频,2024/1/5 22:57,甘肃
#巴以冲突#⚡🇮🇱🇱🇧真主党和以色列之间的战争正在急剧升级。今天早上，以色列空军对黎巴嫩南部发动了大规模袭击。坦克编队也安排在了接触线上的最前沿待命。L大象搬砖的微博视频,2024/1/1 23:05,福建
全世界都在看巴勒斯坦人民慢慢死去#巴以冲突##58个巴勒斯坦孩子在巴以冲突中死去#谁可以和我共情,2024/1/6 22:29,贵州
纳斯鲁拉宣布将在一小时内发布重要讲话来源：Hezbollah#伊朗爆炸事件死亡人数上升至103人##伊朗连环爆炸被指系恐怖袭击##巴以冲突#,2024/1/3 23:20,北京
#巴以冲突##俄乌局势新进展#图二为以色列内阁会议的争吵内容,2024/1/5 22:51,山东
人阵也放用SA7击中直升机的图来源：شبكةقدسالإخبارية#巴以冲突##以色列称坚决拒绝停火##以色列轰炸后的加沙尸横遍野#,2024/1/1 23:01,北京
事实中美贸易战多少多少天了俄乌冲突多少多少天了巴以冲突多少多少天了伤口越来越深人们越来越麻木,2024/1/6 22:29,江西
越南地道战#巴以冲突#L胡杨林的电影铺子的微博视频,2024/1/4 23:11,北京
南非向国际法院提控以色列种族灭绝，以色列称将出庭回应。byrfi以色列#巴以冲突##以色列##以色列##以色列巴勒斯坦冲突#L巴比松ML的微博视频,2024/1/3 23:16,北京
禽兽不如！#巴以冲突#据一名叙利亚记者：以色列继续在加沙进行轰炸，这一次它们袭击了拯救生命的救援人员与救援装备。#黄媒不会说的真相#L小凡好摄的微博视频,2024/1/5 22:50,重庆
以色列财政部长斯莫特里赫：加沙地带的巴勒斯坦居民应该离开这一被围困地区，以便犹太人能重返定居。#巴以冲突#,2024/1/1 23:01,河南
在漫漫荒漠，曙光也一样绚丽。知之者有人。十年没见的牧牧，两年没见的京菁。在皮爷聊牧牧的专业、近况，聊他还没开业的南京的bar，他感兴趣的国际关系学。还收到了今年最早的两份生日礼物！在tuna听巴以冲突的历史渊源、哲学史，安利《尤利西斯》，一起聊不同寺庙，spss、R和python，聊哈尔滨的音乐文化。然后一起逛书店，在不同时间给京菁安利了同一本《夜晚的潜水艇》，买了同一本《文学批评的革命者》。一起聊逛动物园，京菁的细胞学，聊那不勒斯四部曲，京菁给我安利了《秋园》。恍惚间又想到第一次见京菁，是细雨朦胧的青剑湖边，一起在麦当劳做作业。想到和牧牧当同桌的时候，一起面对着狂笑不止，然后互怼。不怼的不一定不是真朋友，但互怼的朋友一定是真朋友。（在微信聊天框搜索怼牧牧的“你别”语气，一句没有）那时我们有梦，关于文学，关于爱情，关于穿越世界的旅行。如今我们白日饮酒，杯子碰在一起，言笑晏晏，依然憧憬梦想，不是梦破碎的声音。（无奖竞猜，p1-3哪张图是我拍的）,2024/1/4 23:09,江苏
